id,name,isExpansion
1,アグリコラ,FALSE
2,アグリコラ Zデッキ,TRUE
3,アグリコラ Öデッキ,TRUE
4,アグリコラ Czデッキ,TRUE
5,アグリコラ ゲーマーズデッキ,TRUE
6,アグリコラ 世界選手権デッキ,TRUE
7,アグリコラ NLデッキ,TRUE
8,アグリコラ ベルギーデッキ,TRUE
9,アグリコラ πデッキ,TRUE
10,アグリコラ ビーレフェルトデッキ,TRUE
11,アグリコラ フランスデッキ,TRUE
12,アグリコラ リバイズドエディション,FALSE
13,アグリコラ 5-6人拡張,TRUE
14,アグリコラ 泥沼からの出発 (リバイズド),TRUE
15,アグリコラ アルティフェクスデッキ,TRUE
16,アグリコラ ブーブルクスデッキ,TRUE
17,アグリコラ コルバリウスデッキ,TRUE
18,アグリコラ Dulcinariaデッキ,TRUE
19,アグリコラ 青拡張,TRUE
20,アグリコラ 赤拡張,TRUE
21,アグリコラ 黄拡張,TRUE
22,アグリコラ 緑拡張,TRUE
23,アグリコラ 白拡張,TRUE
24,アグリコラ 紫拡張,TRUE
25,アグリコラ Changelings拡張,TRUE
26,アグリコラ Newdale拡張,TRUE
27,おかしな遺言,FALSE
28,狂気山脈,FALSE
29,アメン・ラー,FALSE
30,グラスロード,FALSE
31,フルーツジュース,FALSE
32,カルカソンヌ,FALSE
33,シティビルダー,FALSE
34,ラブクラフト・レター,FALSE
35,あやつり人形 新版,FALSE
36,アグリコラ 牧場の動物たち,FALSE
37,アメン・ラー カードゲーム,FALSE
38,ワードバスケット,FALSE
39,私の世界の見方,FALSE
40,もじぴったん カードゲーム,FALSE
41,凶星のデストラップ,FALSE
42,凶星のデストラップ 拡張 新たなる探索,TRUE
43,インサイダー・ゲーム,FALSE
44,マンマ・ミーア,FALSE
45,王宮のささやき,FALSE
46,フェレータ,FALSE
47,NARABI,FALSE
48,ハイテンション利休,FALSE
49,街コロ通,FALSE
50,Hit Me Again! 酒は呑んでも呑まれるな,FALSE
51,人狼ドッチ,FALSE
52,ゼロ,FALSE
53,シリメツレツ,FALSE
54,ハートオブクラウン,FALSE
55,ハートオブクラウン～北限の魔女～,TRUE
56,ハートオブクラウン～極東辺境領～,TRUE
57,ハートオブクラウン～フェアリーガーデン～,TRUE
58,ハートオブクラウン～六都市同盟～,TRUE
59,ハートオブクラウン～星天前路～,TRUE
60,異世界ギルドマスターズ,FALSE
61,異世界ギルドマスターズ：迷宮都市の群像劇,TRUE
62,異世界ギルドマスターズ：迷宮大変動,TRUE
63,ハダラ,FALSE
64,あいうえバトル,FALSE
65,シティビルダー,FALSE
66,エバーデール,FALSE
67,ラブレター10周年記念版,FALSE
68,アグリコラ15周年記念ボックス,FALSE
69,スカルキング,FALSE
70,タイムボム,FALSE
71,アグリコラ Consul Dirigens デッキ,TRUE
72,ごろごろナンバー,FALSE
73,ジャスト・ワン,FALSE
74,ito,FALSE
75,ペンギンパーティ,FALSE
76,アーティチョークなんて大キライ！,FALSE
77,狩歌,FALSE
78,狩歌応用セット,TRUE
79,狩歌パラダイムシフト,TRUE
80,Lexio Neo,FALSE
81,チューリングマシン,FALSE
82,ゲームオブチップス,FALSE
83,スシゴーパーティ！,FALSE
84,街コロライフ,FALSE
85,チャレンジャーズ！：ビーチカップ,FALSE
86,インサイダーゲーム ブラック,FALSE
87,クラッシュアイスゲーム,FALSE
88,プラネットB,FALSE
89,シーソルト＆ペーパー,FALSE
90,宝石の煌き：ポケモン,FALSE
91,Slay the Spire: The Board Game コレクターズ・エディション 日本語版,FALSE
